Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
TERÇA,17/02,FALSE,16:00,17:00,Olinda,Eu Acho é Pouco,https://www.instagram.com/euachoepouco/,A definir,-7.9920193,-34.8422368,
TERÇA,17/02,FALSE,16:00,17:00,Recife,Afojubá Batuque,https://www.instagram.com/afojubarecife,Avenida Marquês de Olinda,-8.0635147,-34.8730271,
TERÇA,17/02,FALSE,17:00,19:30,Olinda,Lenhadores Olindense,https://www.instagram.com/ccm_lenhadores,Largo do Guadalupe,-8.010065,-34.8558844,
TERÇA,17/02,FALSE,1900,20:00,Recife,Congobloco,https://www.instagram.com/congoblocobatebumoficial/,Rua da Guia,-8.0613115,-34.8716899,
QUARTA,18/02,FALSE,8:00,8:00,Olinda,Bacalhau do Batata,https://www.instagram.com/bacalhaudobatataoficial,Alto da Sé,-8.0139781,-34.849701,
QUARTA,18/02,FALSE,10:00,10:00,Olinda,Isso Nú Hein?,https://www.instagram.com/issonuhein,Bar do Ró,-8.0110592,-34.8567962,
QUARTA,18/02,FALSE,10:00,11:00,Olinda,Bloco do Barão,https://www.instagram.com/barao_de_olinda/,Rua da Boa Hora,-8.0166597,-34.8567609,
QUARTA,18/02,FALSE,12:00,12:00,Olinda,Bloco do Reggae,https://www.instagram.com/blocodoreggae,A definir,-7.9920193,-34.8422368,
QUARTA,18/02,FALSE,13:00,14:00,Olinda,Coveirinhos na Folia,,Cemitério de Guadalupe,-8.0061995,-34.8557235,
QUARTA,18/02,FALSE,16:00,18:00,Olinda,Boi da Macuca,https://www.instagram.com/boidamacuca,Largo do Guadalupe,-8.010065,-34.8558844,
QUARTA,18/02,FALSE,17:00,18:00,Olinda,Bloco do Case,https://www.instagram.com/blocodocaseoficial,Atrás da Igreja de São Pedro,-8.0166884,-34.8511568,
QUARTA,18/02,FALSE,18:00,19:00,Olinda,Encontro de Bois,,Rua da Boa Hora,-8.0166597,-34.8567609,
QUARTA,18/02,FALSE,20:00,20:00,Olinda,Cortejo dos Afoxés,,Largo do Guadalupe,-8.010065,-34.8558844,
QUARTA,18/02,FALSE,23:00,23:59,Olinda,Segura a Coisa,https://www.instagram.com/seguraacoisa,Praça do Fortim,-8.014772,-34.8454722,
