Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
SÁBADO,14/02,FALSE,8:00,9:00,Olinda,Maracatu Kangoma,https://www.instagram.com/maracatukangoma,"Rua do Amparo, 236",-8.0125662,-34.8532719,
SÁBADO,14/02,FALSE,8:00,9:00,Olinda,Tambores D'Saia,https://www.instagram.com/tamboresdsaia/,Praça de São Pedro,-8.0165433,-34.85097,
SÁBADO,14/02,FALSE,8:00,9:00,Olinda,Soul Delas,https://www.instagram.com/sambasouldelas/,Mosteiro São Bento,-8.0198269,-34.8521035,
SÁBADO,14/02,TRUE,8:00,9:30,Olinda,Trinca de Ás,https://www.instagram.com/trincadeas/,Ladeira da Prefeitura,-8.0184596,-34.8521666,Maestro Oseas
SÁBADO,14/02,FALSE,9:00,9:59,Recife,Patusquinho,https://www.instagram.com/bateriapatuscooficial,Pátio São Pedro,-8.0670234,-34.8789351,
SÁBADO,14/02,FALSE,9:00,10:00,Olinda,Urso Congelado,https://www.instagram.com/ursocongelado/,"Açaí do Carmo, 5",-8.0166281,-34.848165,
SÁBADO,14/02,FALSE,9:00,10:00,Olinda,Fábrica de Samba,https://www.instagram.com/fabricadesamba,Igreja de São Pedro,-8.0165433,-34.85097,
SÁBADO,14/02,FALSE,10:00,10:00,Olinda,Sombatuki,https://www.instagram.com/sombatuki,Largo do Amparo,-8.0112489,-34.8542192,
SÁBADO,14/02,FALSE,10:00,10:00,Olinda,Fique na Sombra,https://www.instagram.com/fiquenasombra/,"Rua da Boa Hora, 177",-8.0158493,-34.8546239,
SÁBADO,14/02,FALSE,9:00,10:00,Olinda,Batucada Atômica,https://www.instagram.com/batucadaatomica,Avenida 10 de Novembro,-8.0182945,-34.8515076,
SÁBADO,14/02,FALSE,9:00,10:00,Olinda,Tá Calor Nessa Roupa?,https://www.instagram.com/tamtacalor,Casbah,-8.0166682,-34.8508197,Maestro China
SÁBADO,14/02,FALSE,9:00,11:30,Olinda,Se me der eu como,https://www.instagram.com/semedereucomoblococarnavalesco?igsh=ZnpvaG5kbWZwN3o0,Rua do Bonfim 386,-8.0143576,-34.8518083,
SÁBADO,14/02,FALSE,10:00,12:00,Olinda,Tomamu no Papeiro,https://www.instagram.com/tomamunopapeiro,"Rua coronel Joaquim, 237",-8.0151141,-34.8572157,
SÁBADO,14/02,FALSE,10:00,12:00,Olinda,Pife Floyd,https://www.instagram.com/pifefloyd/,"Travessa de São Francisco, 206",-8.0148177,-34.8493284,
SÁBADO,14/02,FALSE,14:00,14:00,Olinda,O Pescador,,Caldinho do Dogão (Praça do Fortim),-8.0147997,-34.8455512,
