dia_semana,data,hora_inicio,hora_fim,cidade,evento,local,observacao
SÁBADO,14/02,15:00,15:00,Olinda,Sobrecú,Beco do Bajado,Orquestra Frevo e Folia
SÁBADO,14/02,16:00,17:00,Olinda,Menino da Tarde,Largo do Guadalupe,Maestro Carlos
SÁBADO,14/02,10:00,17:00,Olinda,Papudinhos do Bonsucesso,Espaço Cultural Osvaldo Sérgio,Paranampuká
SÁBADO,14/02,17:00,18:00,Olinda,Burra do Rosário,Guadalupe - Sede da Burra,-
SÁBADO,14/02,18:00,19:00,Olinda,Afoxé Alafin Oyó,Largo do Guadalupe,-
SÁBADO,14/02,18:00,19:00,Olinda,John Travolta,Vassourinhas de Olinda - Largo do Amparo,-
SÁBADO,14/02,23:00,0:00,Olinda,Homem da Meia Noite,Estrada do Bom Sucesso - Sede do Homem,-
DOMINGO,15/02,3:00,4:00,Olinda,Cariri,Clube Cariri,-
DOMINGO,15/02,8:00,8:00,Olinda,Mucha Lucha,Alto da Sé,-
DOMINGO,15/02,9:00,9:00,Olinda,D'Breck,Largo do Bonfim,-
DOMINGO,15/02,8:00,9:00,Olinda,A Rede,Largo do Guadalupe,-
DOMINGO,15/02,8:00,9:00,Olinda,Birita de Olinda,Rua do Amparo 110,Maestro Célio
DOMINGO,15/02,8:00,9:00,Olinda,Batuques de Pernambuco,Praça do Carmo,-
DOMINGO,15/02,9:00,9:59,Olinda,Patusco,"Rua do Amparo, 292",-
DOMINGO,15/02,8:00,10:00,Olinda,Filhas de Betha,Largo do Amparo,Paranampuká
DOMINGO,15/02,9:00,10:00,Olinda,Sambadeiras,Ladeira da Misericordia,-
DOMINGO,15/02,9:00,10:00,Olinda,Enquanto Isso Na Sala da Justiça,Alto da Sé,-
DOMINGO,15/02,9:00,10:00,Olinda,Congobloco,Sede do Macaratu Nação Pernambuco,-
DOMINGO,15/02,9:00,10:00,Olinda,Mulher do Dia,Casa PE no Carnaval,Henrique Dias
DOMINGO,15/02,10:00,10:00,Olinda,Sombatuki,Rua do Bonfim,-
DOMINGO,15/02,10:00,11:00,Olinda,Bloco Tira Lama,Mosteiro São Bento,-
DOMINGO,15/02,10:00,11:00,Olinda,Batadoní,Mosteiro São Bento,-
DOMINGO,15/02,9:30,10:30,Olinda,Rebylleurias,"Rua do Bonfim, 449",Henrique Dias
DOMINGO,15/02,10:00,11:00,Olinda,Cachorro do Farol,Praça do Amaro Branco,-
DOMINGO,15/02,11:00,12:00,Olinda,Dez de Xarque e Uma Latinha,Largo do Amparo,Maestro Lessa/Maestro Sid
DOMINGO,15/02,11:00,14:00,Olinda,Umuarama,"Rua Epitácio Pessoa Sobrinho, 91",Henrique Dias
DOMINGO,15/02,10:00,14:00,Olinda,Me Adota,Praça do Carmo,-
